City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
152,Kurilsk,RU,45.23,147.88,40.78,68,62,7.92,broken clouds
153,Henties Bay,NA,-22.12,14.28,64.31,68,57,15.99,broken clouds
154,Kavieng,PG,-2.57,150.80,82.8,75,100,10.27,overcast clouds
155,Isangel,VU,-19.55,169.27,74.55,65,62,16.91,broken clouds
156,Hajnowka,PL,52.74,23.58,69.33,60,97,8.57,overcast clouds
157,Bhatkal,IN,13.97,74.57,79.68,84,100,6.24,light rain
158,Nouadhibou,MR,20.93,-17.03,67.26,81,74,23.87,broken clouds
159,Acapulco,MX,16.86,-99.89,87.62,51,0,3.44,clear sky
160,Kaset Sombun,TH,16.28,101.95,80.31,79,100,2.21,light rain
161,Krasnoselkup,RU,65.70,82.47,35.64,100,100,8.01,overcast clouds
162,Yumen,CN,40.28,97.20,64.33,13,97,16.78,overcast clouds
163,Lorengau,PG,-2.02,147.27,81.84,74,100,8.63,overcast clouds
164,Cherskiy,RU,68.75,161.30,22.71,96,100,8.79,light snow
165,Norman Wells,CA,65.28,-126.83,33.84,64,40,3.44,scattered clouds
166,Westport,US,41.14,-73.36,69.85,44,100,16.11,overcast clouds
167,Shache,CN,38.42,77.24,84.02,12,97,6.76,overcast clouds
168,Coihaique,CL,-45.58,-72.07,35.55,93,75,0.0,mist
169,Castelo Do Piaui,BR,-5.32,-41.55,92.68,38,27,3.44,scattered clouds
170,Chapais,CA,49.78,-74.85,55.18,76,100,7.16,overcast clouds
171,Khatra,IN,22.98,86.85,85.95,61,9,11.45,clear sky
172,Kyabram,AU,-36.32,145.05,57.87,87,100,7.45,overcast clouds
173,Praia Da Vitoria,PT,38.73,-27.07,62.85,63,75,13.94,broken clouds
174,Santa Fe,AR,-31.63,-60.70,70.02,71,59,1.99,broken clouds
175,Guerrero Negro,MX,27.98,-114.06,62.31,68,0,23.17,clear sky
176,Uarini,BR,-2.99,-65.11,84.69,70,100,4.88,overcast clouds
177,Zhaotong,CN,27.32,103.72,54.91,89,100,3.31,overcast clouds
178,Marsh Harbour,BS,26.54,-77.06,74.23,72,42,11.03,light rain
179,Ransang,PH,8.96,117.58,81.32,85,97,3.89,overcast clouds
180,Port Hardy,CA,50.70,-127.42,46.4,87,75,4.61,broken clouds
181,Ponta Do Sol,PT,32.67,-17.10,76.71,69,25,3.49,scattered clouds
182,Torbay,CA,47.67,-52.73,61.57,27,40,16.11,scattered clouds
183,Kenai,US,60.55,-151.26,41.14,62,0,5.75,clear sky
184,Castro,BR,-24.79,-50.01,60.75,93,100,5.93,overcast clouds
185,Lompoc,US,34.64,-120.46,56.57,58,0,15.99,clear sky
186,Rehoboth,NA,-23.32,17.08,79.32,14,40,13.91,scattered clouds
187,Takoradi,GH,4.88,-1.76,84.78,73,100,9.04,light rain
188,Tiznit,MA,29.58,-9.50,89.24,14,15,1.1,few clouds
189,Sioux Lookout,CA,50.10,-91.92,59.07,44,75,0.0,broken clouds
190,Tasiilaq,GL,65.61,-37.64,28.56,68,99,6.55,overcast clouds
191,Kahului,US,20.89,-156.47,73.85,73,0,5.01,clear sky
192,Saldanha,ZA,-33.01,17.94,64.45,69,0,9.17,clear sky
193,Mareeba,AU,-17.00,145.43,70.52,95,97,1.34,overcast clouds
194,Tiksi,RU,71.69,128.87,16.0,97,99,3.83,overcast clouds
195,Beringovskiy,RU,63.05,179.32,34.56,92,88,6.24,overcast clouds
196,Arraial Do Cabo,BR,-22.97,-42.03,80.56,73,20,4.61,few clouds
197,Yate,GB,51.54,-2.42,62.69,76,71,1.99,broken clouds
198,Santa Rosa,PH,14.31,121.11,86.11,75,93,7.31,overcast clouds
199,Oistins,BB,13.07,-59.53,86.09,66,20,19.57,few clouds
200,Hofn,IS,64.25,-15.21,44.62,45,75,20.71,broken clouds
201,Kendal,GB,54.33,-2.75,58.84,77,34,15.77,scattered clouds
