City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
537,Birjand,IR,81.07,clear sky,32.87,59.22,Birjand Tourist Hotel
538,Ixtapa,MX,78.03,few clouds,20.7,-105.2,hotel la terminal
540,Bang Saphan,TH,78.94,overcast clouds,11.21,99.51,Ladawan Boutique Hotel
544,Pangai,TO,76.41,light rain,-19.8,-174.35,Ha'apai Beach Resort
548,Maracacume,BR,86.86,broken clouds,-2.04,-45.96,POUSADA CASTELO
550,Gambela,ET,77.36,light rain,8.25,34.58,Solomon Debebe Hotel
551,Zhuhai,CN,80.38,light intensity shower rain,22.28,113.57,珠海粤财假日酒店
555,Jalu,LY,88.25,broken clouds,29.03,21.55,صاحبة الفخامة
557,Manaure,CO,84.81,overcast clouds,11.78,-72.44,HOTEL DEL MAR VENDRA
559,Cam Ranh,VN,80.56,few clouds,11.92,109.16,OYO 598 Peony Hotel
560,Timbiqui,CO,80.67,light rain,2.77,-77.67,HOTEL TIMBIQUI
562,Jalpa,MX,83.5,scattered clouds,21.63,-102.97,"Estacionamiento ""El Nogal"""
567,Tabou,CI,82.24,light rain,4.42,-7.35,hotêl doufoulougou
568,Rieti,IT,75.81,clear sky,42.41,12.86,Hotel Miramonti
572,Wum,CM,75.06,light rain,6.38,10.07,Beng Family Estate
582,Cabedelo,BR,84.87,broken clouds,-6.98,-34.83,Hotel Pigalle
585,Samarai,PG,82.51,overcast clouds,-10.62,150.67,Nuli Sapi
587,Todos Santos,MX,75.2,clear sky,23.45,-110.22,Hotel California Todos Santos
588,Kieta,PG,78.91,overcast clouds,-6.22,155.63,Uruna Bay Retreat
589,Mucuri,BR,80.08,overcast clouds,-18.09,-39.55,La Bodeguita Pousada
592,Ngunut,ID,75.97,broken clouds,-8.11,112.02,Kost pak Bambang
594,Port Moresby,PG,78.22,scattered clouds,-9.44,147.18,Lamana Hotel (Port Moresby)
595,Lata,PT,77.61,overcast clouds,40.16,-8.33,Casa Maquia
596,Hendersonville,US,84.51,clear sky,36.3,-86.62,Hyatt Place Nashville/Hendersonville
598,Payo,ID,78.22,overcast clouds,-3.75,103.64,Mess keban agung
